timestamps,TP9,AF7,AF8,TP10,Right AUX
1709720530.476,-64.941,-59.082,-37.109,-77.148,0.000
1709720530.480,-65.918,-41.504,-32.227,-76.172,0.000
1709720530.484,-61.035,-43.457,-33.691,-64.453,0.000
1709720530.488,-53.223,-52.246,-32.715,-51.758,0.000
1709720530.492,-50.781,-56.641,-40.039,-54.688,0.000
1709720530.496,-62.988,-53.711,-40.527,-72.266,0.000
1709720530.500,-60.547,-43.945,-30.762,-56.152,0.000
1709720530.504,-64.941,-44.922,-32.227,-57.617,0.000
1709720530.507,-70.312,-40.527,-34.668,-65.430,0.000
1709720530.511,-55.664,-41.016,-37.109,-45.898,0.000
1709720530.515,-67.383,-58.105,-44.922,-63.477,0.000
1709720530.519,-92.285,-62.012,-38.574,-92.773,0.000
1709720530.523,-80.078,-55.664,-27.832,-92.285,0.000
1709720530.527,-52.734,-45.410,-19.531,-69.824,0.000
1709720530.531,-40.527,-41.504,-17.090,-54.199,0.000
1709720530.535,-51.758,-48.340,-26.855,-70.801,0.000
1709720530.539,-77.148,-50.781,-34.668,-88.867,0.000
1709720530.543,-66.895,-41.504,-24.414,-76.172,0.000
1709720530.547,-46.875,-44.922,-18.555,-56.641,0.000
1709720530.550,-61.523,-53.711,-39.551,-77.637,0.000
1709720530.554,-62.012,-48.828,-41.504,-88.379,0.000
1709720530.558,-61.035,-51.270,-29.297,-81.543,0.000
1709720530.562,-70.312,-42.969,-31.250,-91.309,0.000
1709720530.566,-74.219,-39.062,-41.504,-94.727,0.000
1709720530.570,-57.617,-49.316,-35.156,-73.730,0.000
1709720530.574,-47.363,-53.711,-27.832,-68.359,0.000
1709720530.578,-59.082,-48.340,-31.738,-88.867,0.000
1709720530.582,-65.430,-46.387,-34.668,-95.215,0.000
1709720530.586,-56.152,-45.410,-29.785,-91.797,0.000
1709720530.589,-31.738,-31.738,-25.391,-54.199,0.000
1709720530.593,-44.434,-42.480,-35.645,-60.547,0.000
1709720530.597,-72.754,-55.664,-41.016,-103.027,0.000
1709720530.601,-66.406,-39.062,-39.551,-101.074,0.000
1709720530.605,-56.152,-33.203,-30.762,-85.938,0.000
1709720530.609,-52.734,-36.621,-18.555,-67.871,0.000
1709720530.613,-55.176,-38.574,-20.020,-60.547,0.000
1709720530.617,-69.824,-43.457,-15.137,-70.312,0.000
1709720530.621,-82.031,-43.457,-16.113,-91.797,0.000
