timestamps,PPG1,PPG2,PPG3
1709721351.774,2961.000,119662.000,65549.000
1709721351.789,2962.000,119620.000,65564.000
1709721351.805,2959.000,119624.000,65564.000
1709721351.821,2967.000,119657.000,65531.000
1709721351.836,2961.000,119625.000,65542.000
1709721351.852,2963.000,119643.000,65532.000
1709721351.867,2960.000,119573.000,65532.000
1709721351.883,2960.000,119591.000,65523.000
1709721351.899,2959.000,119666.000,65507.000
1709721351.914,2952.000,119624.000,65508.000
1709721351.930,2960.000,119580.000,65516.000
1709721351.946,2951.000,119607.000,65519.000
1709721351.961,2951.000,119611.000,65500.000
1709721351.977,2953.000,119625.000,65490.000
1709721351.992,2956.000,119551.000,65473.000
1709721352.008,2953.000,119580.000,65463.000
1709721352.024,2957.000,119540.000,65480.000
1709721352.039,2951.000,119635.000,65457.000
1709721352.055,2954.000,119671.000,65445.000
1709721352.071,2963.000,119609.000,65455.000
1709721352.086,2960.000,119577.000,65470.000
1709721352.102,2961.000,119612.000,65480.000
1709721352.117,2954.000,119661.000,65467.000
1709721352.133,2957.000,119639.000,65492.000
1709721352.149,2956.000,119656.000,65492.000
1709721352.164,2957.000,119678.000,65479.000
1709721352.180,2954.000,119668.000,65495.000
1709721352.196,2960.000,119748.000,65467.000
1709721352.211,2959.000,119730.000,65500.000
1709721352.227,2962.000,119783.000,65493.000
1709721352.242,2959.000,119774.000,65523.000
1709721352.258,2961.000,119763.000,65509.000
1709721352.274,2957.000,119784.000,65530.000
1709721352.289,2963.000,119786.000,65543.000
1709721352.305,2959.000,119850.000,65532.000
1709721352.321,2965.000,119923.000,65524.000
1709721352.336,2963.000,119835.000,65569.000
1709721352.352,2966.000,119905.000,65537.000
1709721352.367,2969.000,119856.000,65567.000
1709721352.383,2966.000,119915.000,65577.000
1709721352.399,2967.000,119990.000,65561.000
1709721352.414,2965.000,119929.000,65587.000
1709721352.430,2972.000,119968.000,65567.000
1709721352.446,2973.000,120028.000,65598.000
1709721352.461,2968.000,120080.000,65612.000
1709721352.477,2969.000,120074.000,65593.000
1709721352.492,2973.000,120064.000,65617.000
1709721352.508,2969.000,120119.000,65617.000
1709721352.524,2977.000,120057.000,65607.000
1709721352.539,2972.000,120130.000,65619.000
1709721352.555,2969.000,120096.000,65618.000
1709721352.571,2966.000,120130.000,65597.000
1709721352.586,2966.000,120080.000,65595.000
1709721352.602,2966.000,120061.000,65557.000
1709721352.617,2961.000,120068.000,65573.000
1709721352.633,2955.000,120013.000,65576.000
1709721352.649,2958.000,120012.000,65555.000
1709721352.664,2959.000,120001.000,65561.000
1709721352.680,2955.000,119963.000,65541.000
1709721352.696,2954.000,119936.000,65548.000
1709721352.711,2950.000,119962.000,65513.000
1709721352.727,2955.000,119944.000,65553.000
1709721352.742,2952.000,119902.000,65514.000
1709721352.758,2950.000,119923.000,65522.000
1709721352.774,2950.000,119895.000,65534.000
1709721352.789,2951.000,119887.000,65547.000
1709721352.805,2951.000,119921.000,65544.000
1709721352.821,2952.000,119919.000,65535.000
1709721352.836,2951.000,119914.000,65529.000
1709721352.852,2949.000,119887.000,65534.000
1709721352.867,2952.000,119837.000,65548.000
1709721352.883,2950.000,119935.000,65543.000
1709721352.899,2954.000,119881.000,65534.000
1709721352.914,2948.000,119942.000,65529.000
1709721352.930,2948.000,119947.000,65530.000
1709721352.946,2947.000,119848.000,65545.000
1709721352.961,2948.000,119939.000,65546.000
1709721352.977,2946.000,119950.000,65524.000
1709721352.992,2944.000,119952.000,65504.000
1709721353.008,2943.000,120018.000,65556.000
1709721353.024,2953.000,119956.000,65528.000
1709721353.039,2953.000,119978.000,65547.000
1709721353.055,2950.000,119914.000,65536.000
1709721353.071,2949.000,119984.000,65550.000
1709721353.086,2953.000,119978.000,65536.000
1709721353.102,2952.000,119987.000,65559.000
1709721353.117,2945.000,120070.000,65567.000
1709721353.133,2951.000,120032.000,65564.000
1709721353.149,2955.000,120064.000,65584.000
1709721353.164,2953.000,120031.000,65559.000
1709721353.180,2960.000,119991.000,65582.000
1709721353.196,2958.000,120117.000,65582.000
1709721353.211,2955.000,120140.000,65579.000
1709721353.227,2956.000,120144.000,65594.000
1709721353.242,2961.000,120176.000,65606.000
1709721353.258,2962.000,120111.000,65602.000
1709721353.274,2960.000,120172.000,65598.000
1709721353.289,2963.000,120156.000,65614.000
1709721353.305,2969.000,120228.000,65606.000
1709721353.321,2978.000,120200.000,65612.000
1709721353.336,2969.000,120224.000,65625.000
1709721353.352,2962.000,120286.000,65646.000
1709721353.367,2972.000,120287.000,65621.000
1709721353.383,2970.000,120292.000,65648.000
1709721353.399,2974.000,120239.000,65653.000
1709721353.414,2969.000,120350.000,65656.000
1709721353.430,2970.000,120414.000,65662.000
1709721353.446,2968.000,120405.000,65673.000
1709721353.461,2969.000,120428.000,65685.000
1709721353.477,2970.000,120341.000,65679.000
1709721353.492,2973.000,120380.000,65697.000
1709721353.508,2974.000,120446.000,65694.000
1709721353.524,2978.000,120476.000,65695.000
1709721353.539,2980.000,120488.000,65709.000
1709721353.555,2984.000,120495.000,65730.000
1709721353.571,2974.000,120447.000,65711.000
1709721353.586,2976.000,120502.000,65715.000
1709721353.602,2971.000,120437.000,65688.000
1709721353.617,2972.000,120427.000,65688.000
1709721353.633,2965.000,120472.000,65689.000
1709721353.649,2968.000,120428.000,65678.000
1709721353.664,2959.000,120454.000,65654.000
1709721353.680,2961.000,120357.000,65676.000
1709721353.696,2961.000,120344.000,65611.000
1709721353.711,2959.000,120373.000,65646.000
1709721353.727,2960.000,120339.000,65643.000
1709721353.742,2967.000,120343.000,65663.000
1709721353.758,2961.000,120352.000,65654.000
1709721353.774,2957.000,120329.000,65660.000
1709721353.789,2956.000,120333.000,65633.000
1709721353.805,2954.000,120378.000,65646.000
1709721353.821,2960.000,120252.000,65659.000
1709721353.836,2959.000,120320.000,65656.000
1709721353.852,2960.000,120331.000,65651.000
1709721353.867,2959.000,120292.000,65659.000
1709721353.883,2953.000,120405.000,65663.000
1709721353.899,2955.000,120345.000,65635.000
1709721353.914,2952.000,120321.000,65643.000
1709721353.930,2957.000,120275.000,65634.000
1709721353.946,2957.000,120269.000,65637.000
1709721353.961,2950.000,120404.000,65644.000
1709721353.977,2951.000,120305.000,65634.000
1709721353.992,2961.000,120308.000,65614.000
1709721354.008,2956.000,120313.000,65617.000
1709721354.024,2954.000,120339.000,65599.000
1709721354.039,2951.000,120348.000,65574.000
1709721354.055,2948.000,120371.000,65605.000
1709721354.071,2949.000,120340.000,65604.000
1709721354.086,2952.000,120413.000,65603.000
1709721354.102,2944.000,120420.000,65611.000
1709721354.117,2947.000,120421.000,65627.000
1709721354.133,2944.000,120433.000,65622.000
1709721354.149,2949.000,120426.000,65645.000
1709721354.164,2946.000,120480.000,65661.000
1709721354.180,2945.000,120488.000,65653.000
1709721354.196,2949.000,120453.000,65655.000
1709721354.211,2946.000,120448.000,65656.000
1709721354.227,2949.000,120508.000,65665.000
1709721354.242,2946.000,120554.000,65666.000
1709721354.258,2955.000,120505.000,65685.000
1709721354.274,2956.000,120473.000,65703.000
1709721354.289,2953.000,120568.000,65699.000
1709721354.305,2955.000,120540.000,65682.000
1709721354.321,2956.000,120604.000,65713.000
1709721354.336,2960.000,120591.000,65699.000
1709721354.352,2952.000,120625.000,65712.000
1709721354.367,2960.000,120621.000,65718.000
1709721354.383,2960.000,120655.000,65712.000
1709721354.399,2959.000,120646.000,65727.000
1709721354.414,2957.000,120674.000,65733.000
1709721354.430,2960.000,120682.000,65776.000
1709721354.446,2962.000,120686.000,65768.000
1709721354.461,2963.000,120736.000,65760.000
1709721354.477,2960.000,120690.000,65799.000
1709721354.492,2960.000,120702.000,65783.000
1709721354.508,2964.000,120708.000,65773.000
1709721354.524,2964.000,120754.000,65795.000
1709721354.539,2970.000,120796.000,65783.000
1709721354.555,2966.000,120773.000,65795.000
1709721354.571,2968.000,120794.000,65808.000
1709721354.586,2965.000,120792.000,65788.000
1709721354.602,2967.000,120779.000,65761.000
1709721354.617,2961.000,120796.000,65811.000
1709721354.633,2956.000,120634.000,65796.000
1709721354.649,2958.000,120741.000,65760.000
1709721354.664,2956.000,120742.000,65775.000
